1agp,A
1g17,A
1he1,C
1i4d,D
1lf0,A
1mh1,A
1n6h,A
1ryf,A
1tu4,A
1u8y,A
1x86,B
1xcg,B
1xcm,A
1xtq,A
1yvd,A
1yzq,A
1yzu,A
1z0k,A
2cld,X
2erx,A
2ew1,A
2fju,A
2fu5,C
2g3y,A
2g6b,A
2g77,B
2gf9,A
2gil,A
2gzd,A
2j1l,A
2l0x,A
2o52,A
2oil,A
2rgc,A
2w2t,A
2w2v,A
2wbl,C
2wm9,B
2wwx,A
3b13,B
3bfk,A
3cbq,A
3con,A
3dz8,A
3gcg,A
3gj4,A
3icq,B
3jza,A
3lo5,A
3msx,A
3nc1,C
3pir,A
3q85,A
3qbt,A
3ryt,C
3sbd,A
3sua,A
3vhl,B
3x1w,A
3x1y,A
3x1z,A
3zjy,A
4d0g,A
4d0l,B
4efm,A
4gzm,A
4klz,A
4kyi,B
4l9s,A
4lhw,A
4lpk,A
4lwz,A
4phg,A
4pzy,A
4pzz,A
4qxa,A
4tq9,A
4tqa,A
4u5x,A
4uj3,A
4uj4,A
4uru,R
4xh9,B
4yc7,A
4z8y,A
5a0f,A
5hpy,B
5kyk,A
5ldd,C
5m6x,B
5szi,A
5uhv,A
5xco,A
